번호,고객명,생년월일,성별,연락처,이메일,주소,가족사항,직업,연소득(만원),가입상품,보험사,증권번호,월보험료(원),가입일,만기일,주요보장,특약,무사고여부,비고
47,문동욱,1976-06-18,남,010-7810-9123,user047@naver.com,경기 고양시 일산구,독신,전문직(의사),12000,건강보험,DB손해보험,DB2024-1250054,42000,2024-12-17,2044-12-17,암진단비/수술비/입원일당,3대진단비,-,
48,최종석,1962-01-04,남,010-4319-3839,user048@hanmail.net,경기 성남시 분당구,배우자,자영업(카페),3200,암보험,메리츠화재,KB2021-2817102,340000,2021-04-14,2041-04-14,암진단/뇌심장/입원수술,3대진단비,무사고1년,
49,이도현,1983-12-03,남,010-8934-6853,user049@gmail.com,서울 영등포구 여의도동,배우자+부모,직장인(영업),5400,자동차보험,흥국화재,KB2024-9392355,134000,2024-04-23,2025-04-23,대물2억/대인무한/자상,"긴급출동,블랙박스",무사고2년,
50,정동욱,1983-07-27,남,010-6791-4377,user050@hanmail.net,서울 마포구 상암동,배우자+자녀2,전문직(약사),3800,건강보험,DB손해보험,DB2024-6757859,156000,2024-10-26,2044-10-26,치아보철/보존,블랙박스,-,
51,유미경,1976-03-22,여,010-5597-2242,user051@hanmail.net,경기 수원시 영통구,이혼+자녀1,전문직(약사),6800,자동차보험,삼성화재,SF2020-4897387,88000,2020-03-09,2021-03-09,대물3억/대인무한/자동차상해,운전자특약,무사고7년,
52,안보라,1975-10-17,여,010-6342-5295,user052@kakao.com,서울 강서구 마곡동,배우자+자녀1,자영업(농업),9600,건강보험,삼성화재,SF2020-8442378,88000,2020-12-20,2040-12-20,암진단비/수술비/입원일당,간병인일당,무사고2년,
53,김다은,1995-02-18,여,010-7852-2213,user053@hanmail.net,서울 마포구 상암동,독신,자영업(펜션),4200,자동차보험,흥국화재,KB2021-2314138,88000,2021-05-07,2022-05-07,대물3억/대인무한/자동차상해,-,무사고2년,
54,윤지영,1958-11-12,여,010-6910-5831,user054@naver.com,서울 강동구 명일동,배우자,프리랜서(강사),9600,자동차보험,DB손해보험,DB2023-2240490,156000,2023-09-03,2025-09-03,대물3억/대인무한/자동차상해,운전자특약,무사고1년,
55,배호준,1967-06-05,남,010-3705-1376,user055@naver.com,서울 노원구 상계동,배우자+자녀1+부모,전문직(세무사),25000,저축보험,교보생명,KL2023-8489895,340000,2023-09-03,2033-09-03,사망/재해/입원,긴급출동,무사고7년,
56,배민수,1969-09-17,남,010-6262-9445,user056@gmail.com,서울 송파구 잠실동,배우자+자녀2+부모,전문직(약사),25000,자동차보험,메리츠화재,KB2021-3392320,118000,2021-07-28,2022-07-28,대물2억/대인무한/자기신체사고,긴급출동,무사고2년,
57,장종석,1968-08-17,남,010-6403-1125,user057@naver.com,서울 강남구 역삼동,독신,직장인(제약영업),6100,종신보험,NH농협생명,KL2021-6389602,450000,2021-03-21,2031-03-21,사망/재해/입원,"긴급출동,블랙박스",무사고7년,
58,허다은,1983-06-22,여,010-8652-7970,user058@kakao.com,부산 해운대구,배우자+자녀3,직장인(IT개발),8400,연금보험,한화생명,HL2023-1743686,280000,2023-09-06,2053-09-06,변액적립/보장,간병인일당,무사고3년,
59,문현우,1958-11-23,남,010-4606-9446,user059@hanmail.net,서울 강남구 역삼동,이혼+자녀1,자영업(학원),3600,치아보험,DB손해보험,DB2021-5010314,340000,2021-04-11,2051-04-11,암진단비/수술비/입원일당,입원일당,-,
60,한영희,1986-11-07,여,010-3282-6044,user060@hanmail.net,서울 성동구 성수동,배우자+자녀2,자영업(음식점),4200,자동차보험,KB손해보험,KB2024-2801476,72000,2024-02-01,2025-02-01,대물2억/대인무한/자기신체사고,-,-,
61,황민지,1973-10-01,여,010-7442-7030,user061@naver.com,서울 서초구 방배동,배우자,자영업(펜션),3200,자동차보험,KB손해보험,KB2020-1838541,95000,2020-09-06,2021-09-06,대물2억/대인무한/자상,입원일당,무사고3년,
62,김영호,1998-11-26,남,010-7388-5876,user062@kakao.com,경기 고양시 일산구,배우자+자녀1,공무원,5800,자동차보험,KB손해보험,KB2020-9705896,134000,2020-09-20,2021-09-20,대물2억/대인무한/자기신체사고,운전자특약,-,
63,유태영,1963-09-25,남,010-6280-3770,user063@hanmail.net,서울 송파구 잠실동,이혼+자녀1,자영업(카페),25000,3대질병보험,삼성화재,SF2022-4054068,340000,2022-11-25,2032-11-25,치아보철/보존,블랙박스,-,
64,백기범,1971-07-11,남,010-8710-6754,user064@kakao.com,서울 강남구 역삼동,배우자+자녀3,자영업(미용실),15000,치아보험,메리츠화재,KB2021-3737280,88000,2021-09-20,2051-09-20,암진단비/수술비/입원일당,블랙박스,무사고1년,
65,홍준호,1964-03-02,남,010-3170-5790,user065@hanmail.net,서울 성동구 성수동,미혼,자영업(도소매),7500,자동차보험,DB손해보험,DB2023-8806542,72000,2023-03-06,2024-03-06,대물2억/대인무한/자상,실손특약,무사고2년,
66,오혜진,1989-03-08,여,010-3875-9418,user066@kakao.com,인천 연수구 송도동,배우자+자녀1+부모,기업인(제조업 대표),5400,치아보험,흥국화재,KB2022-4921762,180000,2022-02-22,2042-02-22,치아보철/보존,운전자특약,-,
67,오세훈,1975-05-16,남,010-2581-1523,user067@gmail.com,서울 마포구 상암동,배우자+자녀1,자영업(학원),3800,자동차보험,삼성화재,SF2022-2368498,95000,2022-06-22,2023-06-22,대물2억/대인무한/자상,실손특약,-,
68,양지민,1988-12-19,여,010-2769-2707,user068@gmail.com,서울 서초구 방배동,독신,자영업(농업),5800,자동차보험,KB손해보험,KB2023-3779515,72000,2023-07-07,2025-07-07,대물2억/대인무한/자기신체사고,간병인일당,무사고3년,
69,박병철,1977-09-24,남,010-7215-2730,user069@gmail.com,부산 해운대구,배우자+자녀1,자영업(학원),6100,치아보험,삼성화재,SF2021-7133047,220000,2021-09-12,2031-09-12,암진단/뇌심장/입원수술,입원일당,무사고7년,
70,윤은정,1985-12-01,여,010-6438-5597,user070@kakao.com,경기 수원시 영통구,배우자+자녀1,직장인(영업),25000,자동차보험,삼성화재,SF2022-5167441,95000,2022-12-21,2023-12-21,대물3억/대인무한/자동차상해,3대진단비,-,
71,권철수,1973-09-19,남,010-7194-9005,user071@daum.net,경기 안양시 평촌,배우자+자녀2,전문직(변호사),6100,자동차보험,메리츠화재,KB2020-3215137,72000,2020-02-05,2021-02-05,대물2억/대인무한/자상,운전자특약,무사고7년,
72,서철수,1958-07-26,남,010-6363-8721,user072@hanmail.net,서울 강동구 명일동,배우자,프리랜서(강사),4200,자동차보험,흥국화재,KB2023-4190625,118000,2023-01-20,2025-01-20,대물3억/대인무한/자동차상해,입원일당,무사고7년,
73,오동욱,1959-03-26,남,010-4314-9427,user073@kakao.com,대구 수성구,미혼,자영업(미용실),5800,종신보험,신한라이프,KL2022-8078376,450000,2022-05-19,2052-05-19,사망보장/연금전환,실손특약,무사고2년,
74,한경택,1962-02-28,남,010-5917-6280,user074@gmail.com,경기 성남시 분당구,미혼,전문직(약사),9600,3대질병보험,한화손해보험,KB2020-1273726,120000,2020-03-13,2050-03-13,실손입원/통원,긴급출동,무사고7년,
75,장우진,1985-02-19,남,010-2758-5205,user075@daum.net,서울 강서구 마곡동,배우자+자녀1,직장인(회계사),6100,실손의료보험,삼성화재,SF2023-3478009,67000,2023-03-09,2025-03-09,암진단/뇌심장/입원수술,블랙박스,무사고2년,
76,신경수,1975-05-21,남,010-7313-2920,user076@kakao.com,대전 유성구,배우자+자녀2,자영업(미용실),6800,정기보험,한화생명,HL2023-5523891,450000,2023-11-27,2043-11-27,사망보장/연금전환,입원일당,무사고7년,
77,허동욱,1996-02-25,남,010-6488-7035,user077@daum.net,경기 성남시 분당구,독신,자영업(펜션),7200,자동차보험,KB손해보험,KB2022-4878818,88000,2022-01-24,2023-01-24,대물2억/대인무한/자기신체사고,"간병인일당,3대진단비",-,
78,조재현,1980-02-07,남,010-6567-4814,user078@gmail.com,인천 연수구 송도동,배우자+부모,직장인(교사),4800,자동차보험,한화손해보험,KB2021-4500005,134000,2021-08-08,2022-08-08,대물2억/대인무한/자상,긴급출동,무사고5년,
79,황도현,1985-04-24,남,010-4408-6392,user079@gmail.com,서울 송파구 잠실동,배우자+자녀3,자영업(부동산),4500,자동차보험,KB손해보험,KB2023-2581814,88000,2023-09-24,2024-09-24,대물2억/대인무한/자기신체사고,3대진단비,-,
80,박성민,1998-01-09,남,010-9588-6070,user080@daum.net,경기 고양시 일산구,이혼+자녀1,자영업(미용실),3200,자동차보험,KB손해보험,KB2020-9015928,72000,2020-08-15,2022-08-15,대물3억/대인무한/자동차상해,긴급출동,-,
